Area,Bedrooms,Bathrooms,Floor,AgeOfProperty,Furnishing,Parking,City,Rent
1216,3,4,7,14,Semi-Furnished,Yes,Mumbai,97063
2272,1,1,11,11,Unfurnished,No,Ahmedabad,53170
1650,5,1,6,4,Furnished,Yes,Bangalore,96167
1240,2,2,4,3,Furnished,No,Chennai,53350
2256,2,3,7,5,Semi-Furnished,Yes,Chennai,79336
1562,2,2,6,8,Unfurnished,No,Mumbai,90085
2861,3,1,4,10,Unfurnished,Yes,Bangalore,108545
2917,2,1,16,14,Furnished,No,Ahmedabad,76064
2199,3,1,14,3,Semi-Furnished,No,Bangalore,95740
2949,3,3,5,14,Semi-Furnished,Yes,Bangalore,125586
1058,4,2,15,9,Furnished,Yes,Mumbai,96007
2302,4,2,13,8,Unfurnished,Yes,Ahmedabad,70000
1659,5,4,15,7,Semi-Furnished,Yes,Bangalore,106304
2460,3,3,6,8,Furnished,Yes,Ahmedabad,79480
2050,5,3,13,11,Semi-Furnished,Yes,Delhi,121191
1022,4,4,19,9,Furnished,Yes,Pune,72481
496,4,2,12,12,Unfurnished,No,Bangalore,50830
504,2,3,4,8,Semi-Furnished,Yes,Hyderabad,38697
2595,1,3,17,2,Unfurnished,No,Chennai,77163
600,1,3,17,9,Unfurnished,Yes,Pune,31490
1118,5,3,9,11,Unfurnished,No,Hyderabad,69915
696,2,4,19,13,Semi-Furnished,No,Hyderabad,50381
2593,3,2,16,9,Semi-Furnished,No,Chennai,88966
783,4,1,19,11,Semi-Furnished,Yes,Pune,54108
573,3,3,10,13,Unfurnished,No,Ahmedabad,27966
2148,3,1,5,5,Semi-Furnished,No,Bangalore,94405
1549,1,2,11,4,Furnished,Yes,Chennai,58634
2108,1,2,5,8,Unfurnished,Yes,Ahmedabad,50611
813,3,1,11,1,Semi-Furnished,No,Mumbai,70844
596,3,1,17,13,Unfurnished,No,Bangalore,44467
1216,4,4,19,12,Semi-Furnished,Yes,Chennai,70185
1639,3,2,15,4,Furnished,Yes,Ahmedabad,59650
2841,2,2,10,15,Furnished,Yes,Ahmedabad,78369
671,1,3,11,2,Unfurnished,Yes,Mumbai,58061
2409,2,1,17,11,Furnished,Yes,Mumbai,126094
2848,2,1,4,8,Furnished,No,Chennai,85995
2778,5,4,11,10,Unfurnished,Yes,Mumbai,175817
2053,4,1,14,9,Semi-Furnished,Yes,Chennai,76704
2853,3,2,2,2,Semi-Furnished,Yes,Hyderabad,107419
2564,2,3,3,3,Semi-Furnished,No,Delhi,111020
778,3,1,11,2,Unfurnished,No,Chennai,40067
2347,5,4,1,6,Unfurnished,No,Chennai,93423
1526,3,2,1,6,Furnished,No,Ahmedabad,52870
503,4,1,7,0,Furnished,No,Pune,44215
2950,1,1,15,2,Furnished,Yes,Hyderabad,99119
427,4,2,8,4,Semi-Furnished,No,Hyderabad,49341
2575,5,2,10,0,Furnished,Yes,Mumbai,168013
1356,3,2,14,15,Unfurnished,No,Mumbai,87859
1491,5,2,16,1,Furnished,Yes,Chennai,78011
2236,1,4,9,0,Unfurnished,No,Chennai,70465
1521,4,4,16,1,Furnished,No,Mumbai,132699
1949,4,4,6,7,Unfurnished,Yes,Mumbai,136482
2485,5,2,6,9,Furnished,Yes,Mumbai,156510
1746,2,1,1,13,Furnished,No,Ahmedabad,50627
1452,5,2,7,7,Unfurnished,Yes,Bangalore,89547
2469,3,3,14,9,Unfurnished,No,Bangalore,109467
1331,3,2,10,1,Unfurnished,Yes,Ahmedabad,48200
2795,3,1,10,11,Furnished,Yes,Delhi,120177
829,4,1,4,8,Unfurnished,No,Mumbai,71158
1977,4,3,9,10,Unfurnished,Yes,Pune,81566
1233,4,1,6,3,Furnished,No,Mumbai,96635
805,5,2,2,3,Semi-Furnished,No,Ahmedabad,46571
1719,1,2,13,7,Furnished,No,Hyderabad,64869
1134,3,2,5,6,Semi-Furnished,Yes,Hyderabad,58996
1258,2,2,19,15,Unfurnished,Yes,Hyderabad,55168
1362,2,3,20,0,Furnished,No,Bangalore,82779
1751,4,2,5,0,Unfurnished,Yes,Chennai,68710
1088,5,2,20,13,Furnished,Yes,Pune,70512
994,4,3,3,5,Furnished,Yes,Hyderabad,69372
1587,1,1,20,7,Furnished,No,Hyderabad,62882
2578,4,2,17,6,Unfurnished,Yes,Delhi,125260
1437,5,1,16,5,Unfurnished,Yes,Delhi,90531
1519,4,2,19,13,Semi-Furnished,No,Pune,69945
1100,3,2,13,13,Furnished,Yes,Ahmedabad,48924
1577,2,3,10,10,Unfurnished,No,Hyderabad,65142
1205,1,3,1,12,Furnished,No,Delhi,61526
2414,1,3,16,13,Furnished,No,Mumbai,128229
1900,1,2,1,13,Semi-Furnished,Yes,Ahmedabad,49983
899,2,4,11,4,Furnished,Yes,Chennai,55818
847,5,3,8,8,Semi-Furnished,No,Delhi,76169
2450,3,3,16,9,Furnished,Yes,Chennai,93793
2291,4,2,2,0,Unfurnished,No,Bangalore,104879
1359,5,4,6,1,Furnished,Yes,Bangalore,104381
2469,2,1,18,11,Unfurnished,No,Delhi,102102
565,3,4,18,14,Furnished,Yes,Chennai,47071
2375,1,3,5,7,Furnished,Yes,Delhi,102662
2016,1,1,14,7,Furnished,Yes,Pune,66972
845,2,2,16,6,Furnished,Yes,Delhi,63645
853,1,2,2,11,Furnished,No,Hyderabad,36719
1652,1,1,13,11,Furnished,No,Mumbai,82259
791,1,4,16,0,Semi-Furnished,No,Mumbai,72882
1872,2,2,7,10,Furnished,No,Mumbai,105575
998,4,3,20,9,Unfurnished,No,Hyderabad,66811
1350,3,2,16,5,Semi-Furnished,Yes,Ahmedabad,53974
1342,5,3,18,7,Unfurnished,No,Chennai,69495
2434,3,3,18,9,Furnished,Yes,Bangalore,116178
696,1,1,6,15,Unfurnished,No,Chennai,19273
1674,3,4,8,0,Furnished,Yes,Bangalore,98349
2418,1,1,3,4,Furnished,No,Delhi,96137
1088,2,1,20,8,Semi-Furnished,No,Ahmedabad,39068
1671,2,1,7,10,Semi-Furnished,No,Mumbai,88809
2083,4,4,3,12,Furnished,Yes,Mumbai,143558
1464,2,1,17,3,Unfurnished,Yes,Chennai,54306
1175,4,1,19,0,Semi-Furnished,Yes,Bangalore,81613
1988,2,4,20,0,Unfurnished,Yes,Hyderabad,91192
2034,3,1,11,10,Furnished,No,Chennai,73798
2326,3,1,9,13,Furnished,Yes,Chennai,77696
849,2,1,20,2,Furnished,No,Chennai,42650
706,5,3,12,14,Furnished,No,Pune,62769
2409,1,1,5,2,Semi-Furnished,No,Ahmedabad,60069
857,5,4,5,8,Unfurnished,Yes,Ahmedabad,52938
2234,5,3,16,8,Furnished,No,Chennai,92888
632,1,2,3,15,Furnished,Yes,Delhi,34736
2562,1,1,8,4,Furnished,No,Ahmedabad,64755
1609,5,3,11,7,Furnished,Yes,Chennai,78750
710,5,4,13,12,Semi-Furnished,No,Chennai,55884
1076,5,1,20,11,Furnished,No,Hyderabad,72401
2829,1,1,6,10,Unfurnished,Yes,Bangalore,95723
1812,1,1,3,7,Unfurnished,No,Delhi,64759
1038,4,1,2,5,Unfurnished,No,Hyderabad,54961
717,4,2,6,4,Furnished,No,Ahmedabad,41149
2428,3,1,12,1,Furnished,No,Mumbai,140038
2608,2,3,16,8,Furnished,Yes,Pune,96093
2353,4,1,17,12,Unfurnished,Yes,Hyderabad,95612
1336,4,2,4,14,Semi-Furnished,Yes,Delhi,82465
427,2,1,4,13,Furnished,No,Mumbai,41459
2989,2,4,14,11,Semi-Furnished,No,Hyderabad,108894
919,2,1,8,3,Furnished,No,Delhi,56446
2471,4,3,18,5,Semi-Furnished,Yes,Hyderabad,111884
476,5,3,12,3,Unfurnished,Yes,Bangalore,67143
2529,1,2,3,13,Furnished,Yes,Delhi,98872
2160,3,3,10,4,Unfurnished,Yes,Chennai,76532
2944,2,3,9,13,Semi-Furnished,Yes,Pune,98793
2834,4,3,18,15,Furnished,No,Bangalore,129109
1928,1,2,13,11,Furnished,No,Mumbai,103280
2315,4,1,8,13,Semi-Furnished,Yes,Mumbai,129780
2380,1,2,14,2,Unfurnished,No,Bangalore,91624
2582,2,1,13,4,Semi-Furnished,Yes,Delhi,107791
2921,4,4,12,9,Unfurnished,Yes,Bangalore,134130
2890,4,2,2,4,Furnished,Yes,Delhi,135362
2787,3,4,20,13,Semi-Furnished,No,Delhi,132254
705,5,2,10,0,Furnished,Yes,Chennai,61212
1432,5,1,4,5,Unfurnished,Yes,Chennai,61709
2857,1,2,2,1,Unfurnished,No,Delhi,108596
1367,4,3,11,9,Semi-Furnished,Yes,Bangalore,88165
1112,1,1,13,7,Semi-Furnished,No,Pune,38357
2319,2,2,3,3,Semi-Furnished,No,Chennai,70905
822,2,4,19,13,Furnished,Yes,Ahmedabad,44811
2434,3,1,3,10,Unfurnished,No,Pune,80233
2391,3,3,4,3,Unfurnished,Yes,Delhi,112168
443,3,4,11,13,Semi-Furnished,Yes,Chennai,42914
542,3,3,12,14,Furnished,Yes,Ahmedabad,38518
1819,2,3,12,8,Furnished,Yes,Delhi,92194
1053,4,2,14,4,Unfurnished,No,Mumbai,89735
2328,2,1,18,4,Furnished,No,Mumbai,127037
2590,5,3,14,7,Furnished,No,Delhi,141590
2616,5,1,6,7,Furnished,Yes,Mumbai,161674
2065,5,2,15,3,Semi-Furnished,No,Chennai,83939
443,2,2,7,3,Furnished,Yes,Chennai,36702
1494,3,4,2,7,Semi-Furnished,Yes,Mumbai,106388
2571,5,1,3,3,Furnished,No,Bangalore,124392
1688,5,3,20,13,Semi-Furnished,Yes,Bangalore,103447
1818,4,1,5,4,Furnished,Yes,Mumbai,118483
2426,5,1,18,12,Semi-Furnished,Yes,Pune,97141
2427,2,4,9,5,Unfurnished,No,Ahmedabad,66959
2958,2,3,15,15,Furnished,No,Mumbai,153421
2560,4,1,10,3,Semi-Furnished,Yes,Bangalore,114162
2815,5,4,6,10,Unfurnished,Yes,Chennai,104589
2251,1,2,14,3,Unfurnished,No,Pune,70233
407,1,2,8,14,Furnished,No,Mumbai,38091
2263,2,3,16,8,Unfurnished,Yes,Mumbai,128045
2969,4,3,7,11,Unfurnished,Yes,Delhi,138741
2261,5,2,7,4,Furnished,No,Hyderabad,104681
1330,3,4,2,3,Semi-Furnished,Yes,Chennai,65133
1553,4,2,19,15,Furnished,Yes,Chennai,69614
2172,2,4,7,12,Furnished,Yes,Pune,87647
894,3,2,13,13,Semi-Furnished,No,Chennai,43692
1369,2,2,14,3,Semi-Furnished,Yes,Bangalore,70224
1664,1,2,18,10,Semi-Furnished,Yes,Ahmedabad,51495
2969,1,4,15,7,Unfurnished,No,Bangalore,114870
1656,3,2,16,5,Unfurnished,Yes,Ahmedabad,57385
589,1,1,17,9,Semi-Furnished,No,Ahmedabad,22610
1714,4,4,2,1,Furnished,No,Pune,86674
856,4,4,6,6,Semi-Furnished,Yes,Ahmedabad,46990
574,3,2,8,7,Unfurnished,No,Chennai,35386
1900,4,3,5,3,Unfurnished,Yes,Mumbai,131321
2247,2,2,19,9,Semi-Furnished,No,Mumbai,125458
1023,5,1,14,8,Unfurnished,No,Bangalore,69785
2734,1,3,5,12,Unfurnished,No,Chennai,74228
612,2,1,2,8,Semi-Furnished,No,Hyderabad,33362
2562,2,1,18,6,Semi-Furnished,Yes,Chennai,80824
1816,4,3,17,3,Semi-Furnished,Yes,Hyderabad,93743
659,1,3,5,6,Semi-Furnished,No,Bangalore,40768
2460,4,3,15,15,Unfurnished,No,Bangalore,110691
1992,4,1,14,0,Furnished,Yes,Mumbai,133292
438,3,1,11,9,Unfurnished,Yes,Mumbai,50958
1187,3,3,9,5,Unfurnished,Yes,Pune,60107
1660,5,3,3,6,Unfurnished,Yes,Ahmedabad,65154
1953,2,3,10,12,Unfurnished,No,Ahmedabad,55100
1742,4,1,4,10,Unfurnished,No,Pune,64594
1734,4,2,11,7,Unfurnished,Yes,Bangalore,88377
2655,5,3,5,7,Unfurnished,Yes,Ahmedabad,86397
1541,3,2,6,15,Furnished,No,Bangalore,73736
1447,4,1,4,5,Unfurnished,Yes,Delhi,80778
881,5,1,14,15,Unfurnished,No,Hyderabad,55935
1861,2,2,12,7,Semi-Furnished,Yes,Bangalore,83379
1515,4,2,20,7,Unfurnished,No,Hyderabad,75100
2549,5,1,10,1,Semi-Furnished,Yes,Chennai,93376
991,4,3,14,7,Semi-Furnished,No,Ahmedabad,46431
2700,2,4,12,13,Furnished,Yes,Delhi,126647
2995,1,2,8,10,Unfurnished,Yes,Bangalore,104970
2730,5,4,18,4,Furnished,No,Hyderabad,127615
436,2,2,16,4,Unfurnished,Yes,Mumbai,52947
2982,2,2,18,10,Unfurnished,No,Pune,94611
543,2,1,10,14,Furnished,Yes,Pune,34518
1015,5,4,13,5,Semi-Furnished,Yes,Chennai,68848
2196,5,2,17,1,Furnished,No,Delhi,125979
2640,2,2,17,5,Furnished,No,Bangalore,113625
1822,2,1,14,4,Unfurnished,No,Pune,63979
672,2,3,19,2,Semi-Furnished,Yes,Mumbai,72858
2399,1,3,18,9,Semi-Furnished,Yes,Pune,82558
635,5,2,4,12,Furnished,Yes,Pune,56163
1897,4,4,10,10,Semi-Furnished,No,Hyderabad,93206
829,5,1,19,14,Unfurnished,Yes,Ahmedabad,40826
1568,5,1,2,6,Semi-Furnished,Yes,Mumbai,116082
1472,5,1,7,1,Semi-Furnished,Yes,Hyderabad,79121
1798,4,1,4,11,Furnished,No,Hyderabad,79777
2112,1,2,5,7,Unfurnished,No,Bangalore,75472
1564,4,4,10,15,Unfurnished,Yes,Ahmedabad,60957
1433,3,1,18,13,Furnished,No,Chennai,57412
2048,5,4,18,8,Unfurnished,Yes,Ahmedabad,74485
1558,2,3,5,13,Unfurnished,Yes,Bangalore,73553
2144,4,1,1,15,Unfurnished,No,Hyderabad,78134
1446,1,3,2,13,Furnished,No,Bangalore,65122
1703,5,3,19,11,Furnished,Yes,Ahmedabad,74402
2411,1,1,3,12,Furnished,Yes,Bangalore,85754
552,5,4,4,4,Furnished,Yes,Ahmedabad,52851
1747,3,2,14,0,Semi-Furnished,Yes,Hyderabad,83054
2678,5,1,3,1,Semi-Furnished,No,Ahmedabad,79739
2271,3,3,3,11,Unfurnished,Yes,Ahmedabad,63098
896,4,4,17,1,Unfurnished,Yes,Delhi,81948
646,1,2,1,13,Furnished,Yes,Hyderabad,33934
2905,3,2,15,6,Semi-Furnished,No,Delhi,128443
2719,1,1,4,13,Semi-Furnished,No,Ahmedabad,63325
2751,2,3,2,9,Furnished,Yes,Mumbai,143289
2826,3,3,9,15,Furnished,No,Mumbai,155378
1823,1,3,12,9,Furnished,Yes,Delhi,85825
2779,2,1,20,10,Unfurnished,No,Delhi,113216
2643,3,1,13,2,Unfurnished,Yes,Bangalore,109819
1042,1,2,16,2,Semi-Furnished,Yes,Chennai,43445
1172,1,3,15,10,Unfurnished,Yes,Hyderabad,53079
1588,4,4,10,12,Furnished,Yes,Pune,84027
1386,2,4,11,2,Semi-Furnished,No,Chennai,62636
1098,4,3,13,6,Semi-Furnished,Yes,Delhi,83207
2085,3,3,8,12,Unfurnished,No,Delhi,100751
2073,5,1,5,11,Semi-Furnished,Yes,Chennai,78767
796,1,2,18,4,Semi-Furnished,Yes,Chennai,38147
838,5,4,20,14,Furnished,Yes,Pune,72898
